City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind speed,Country,Date
Punta Arenas,-53.15,-70.9167,1.06,86,75,3.09,CL,1659940685
Chui,-33.6971,-53.4616,8.32,87,5,3.18,UY,1659940899
Lahad Datu,5.0268,118.327,29.7,68,99,3.96,MY,1659940901
Montijo,38.7067,-8.9739,19.47,83,0,0,PT,1659940757
Rikitea,-23.1203,-134.9692,21.49,82,100,16.56,PF,1659940904
Kruisfontein,-34.0033,24.7314,14.38,91,90,2.43,ZA,1659940905
Albany,42.6001,-73.9662,24.23,87,4,1.18,US,1659940793
Oberá,-27.4871,-55.1199,11.8,94,100,1.51,AR,1659940908
Ushuaia,-54.8,-68.3,1.81,60,20,1.54,AR,1659940910
Port Elizabeth,-33.918,25.5701,15.61,94,0,2.57,ZA,1659940912
Tørring,55.85,9.4833,16.06,88,81,2.58,DK,1659940913
Atuona,-9.8,-139.0333,25.27,67,10,7.59,PF,1659940915
Busselton,-33.65,115.3333,12.66,66,84,10.08,AU,1659940916
Hofn,64.2539,-15.2082,10.76,85,100,5.1,IS,1659940918
La Providencia,28.7167,-111.5833,29,62,3,4.82,MX,1659940919
Labuhan,-6.8844,112.2051,31.03,55,26,3.19,ID,1659940921
Port Alfred,-33.5906,26.891,17.31,91,100,9.31,ZA,1659940922
Malbork,54.0359,19.0266,18.8,62,100,0.85,PL,1659940924
Souillac,-20.5167,57.5167,23.21,68,40,3.6,MU,1659940926
Puerto Ayora,-0.7393,-90.3518,18.64,98,24,0.45,EC,1659940927
Nouadhibou,20.931,-17.0347,21.99,94,20,3.09,MR,1659940929
Portland,45.5234,-122.6762,26.97,51,0,2.57,US,1659940745
Boden,65.8252,21.6886,12,58,13,1.82,SE,1659940933
Mataura,-46.1927,168.8643,3.04,74,2,3.93,NZ,1659940934
Kearney,40.6995,-99.0815,17.31,92,0,2.24,US,1659940936
Jalu,29.0331,21.5482,29.33,40,0,2.61,LY,1659940937
Hobart,-42.8794,147.3294,11.14,66,20,3.09,AU,1659940879
Muros,42.7762,-9.0603,17.6,92,1,2.04,ES,1659940940
Iqaluit,63.7506,-68.5145,3.85,93,75,2.06,CA,1659940943
Amuntai,-2.4177,115.2494,33.85,35,10,1.38,ID,1659940945
Kununurra,-15.7667,128.7333,33.99,36,40,4.12,AU,1659940946
Buraidah,26.326,43.975,39.25,14,0,6.44,SA,1659940948
Fairbanks,64.8378,-147.7164,13.11,79,100,2.06,US,1659940802
Dikson,73.5069,80.5464,6.14,100,100,4.41,RU,1659940951
New Norfolk,-42.7826,147.0587,10.95,74,9,0.41,AU,1659940952
Lata,40.1629,-8.3327,17.82,77,0,0.54,PT,1659940954
Zhigansk,66.7697,123.3711,15.01,69,100,4.62,RU,1659940956
Bekhtery,46.251,32.2927,31.77,27,0,6.66,UA,1659940957
Jamestown,42.097,-79.2353,23.77,69,0,3.09,US,1659940882
Ixtapa,20.7,-105.2,25.68,83,100,2.57,MX,1659940960
Esperance,-33.8667,121.9,17.85,61,81,7.35,AU,1659940961
Saint-Philippe,-21.3585,55.7679,24.77,74,18,3.56,RE,1659940963
Eureka,40.8021,-124.1637,17.6,88,37,1.42,US,1659940964
Cape Town,-33.9258,18.4232,15.21,80,75,3.09,ZA,1659940702
San Patricio,28.017,-97.5169,29.38,76,22,4.73,US,1659940967
Jiujiang,29.7333,115.9833,36.44,45,9,2.85,CN,1659940969
Tilichiki,60.4667,166.1,17.34,63,100,1.74,RU,1659940970
Chokurdakh,70.6333,147.9167,19.21,29,100,6.86,RU,1659940974
George Town,5.4112,100.3354,31.97,66,20,5.66,MY,1659940976
Lázaro Cárdenas,17.9583,-102.2,25.29,86,52,2.09,MX,1659940977
Mato Verde,-15.3972,-42.8664,18.24,87,75,2.52,BR,1659940979
Qaanaaq,77.484,-69.3632,1.81,58,94,3.18,GL,1659940980
Hermanus,-34.4187,19.2345,14.31,76,67,1.57,ZA,1659940982
Yekimovichi,54.1129,33.2965,17.84,78,85,3.01,RU,1659940984
Lagoa,39.05,-27.9833,22.91,80,13,7.11,PT,1659940985
Mar del Plata,-38.0023,-57.5575,8.38,84,100,2.68,AR,1659940805
Ahipara,-35.1667,173.1667,12.39,88,38,1.82,NZ,1659940988
Kirakira,-10.4544,161.9205,26.1,84,100,2.42,SB,1659940990
Bethel,41.3712,-73.414,26.05,90,20,0,US,1659940992
Albanel,48.8832,-72.4487,12.08,93,100,3.09,CA,1659940994
Esim,4.8699,-2.2405,24.1,79,100,4.04,GH,1659940995
Doha,25.2867,51.5333,41.17,65,0,4.12,QA,1659940739
Narsaq,60.9167,-46.05,5.12,65,100,1.89,GL,1659940998
Altay,47.8667,88.1167,31.15,22,88,5.69,CN,1659941000
Çorlu,41.1592,27.8,27.99,57,40,12.35,TR,1659941002
La Grande,45.3246,-118.0877,23.36,24,0,1.34,US,1659941004
Butaritari,3.0707,172.7902,27.64,76,22,4.54,KI,1659941005
San Quintín,30.4833,-115.95,22.28,87,9,0.98,MX,1659941007
Broken Hill,-31.95,141.4333,15.54,34,0,2.01,AU,1659941010
Hilo,19.7297,-155.09,26.27,92,20,0.89,US,1659941011
Hithadhoo,-0.6,73.0833,27.43,70,100,0.61,MV,1659941013
Robertsonpet,12.9667,78.2833,25.35,66,100,11.4,IN,1659941015
Naryan-Mar,67.6713,53.087,17.87,53,100,7.71,RU,1659941016
Tasiilaq,65.6145,-37.6368,4.09,98,100,0.88,GL,1659941018
Carnarvon,-24.8667,113.6333,19.85,60,0,6.02,AU,1659941019
Hamilton,39.1834,-84.5333,24.32,92,0,3.09,US,1659941022
Kudahuvadhoo,2.6708,72.8944,27.71,77,99,4.55,MV,1659941023
Thompson,55.7435,-97.8558,17.09,88,75,3.6,CA,1659940936
Lavrentiya,65.5833,-171.0,3.31,72,100,5.83,RU,1659941027
Yei,4.095,30.6779,24.91,73,95,1.25,SS,1659941029
Ribeira Grande,38.5167,-28.7,23.22,88,40,4.12,PT,1659941030
Bambous Virieux,-20.3428,57.7575,24.56,68,40,3.6,MU,1659941032
Airai,-8.9266,125.4092,21.42,56,84,2.06,TL,1659941033
Barrow,71.2906,-156.7887,7.01,81,100,6.69,US,1659941035
Minas,-34.3759,-55.2377,4.3,93,8,2.28,UY,1659941036
Vaini,-21.2,-175.2,24.09,100,20,3.09,TO,1659941038
Kapaa,22.0752,-159.319,26.18,83,75,6.69,US,1659941039
Leningradskiy,69.3833,178.4167,0.42,95,100,7.11,RU,1659941041
Saskylakh,71.9167,114.0833,16.97,50,99,3.47,RU,1659941042
Bluff,-46.6,168.3333,3.22,64,17,9.13,NZ,1659941044
Zeya,53.75,127.2667,13.56,98,100,1.4,RU,1659941046
Opuwo,-18.0607,13.84,19.58,30,0,3.41,NA,1659941047
Husavik,66.0449,-17.3389,10.31,76,82,5.84,IS,1659941048
Mizdah,31.4451,12.9801,25.59,44,0,1.49,LY,1659941050
